taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
VA-DCLS-0286_S45_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0287_S46_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0288_S1_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0289_S2_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0292_S4_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0294_S6_L001,B.1.108,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0295_S7_L001,B.1.108,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0297_S9_L001,B.1.439,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0298_S10_L001,B.1.439,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0299_S11_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0300_S12_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0301_S13_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0303_S15_L001,B.1.494,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0304_S16_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0305_S17_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0306_S18_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0307_S19_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0308_S20_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0309_S21_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0310_S22_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0335_S14_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0336_S15_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0339_S17_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0340_S18_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0342_S2_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0343_S3_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0344_S4_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0347_S7_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0348_S8_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0349_S9_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0350_S10_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0351_S11_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0352_S12_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0353_S13_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0354_S14_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0355_S15_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0356_S16_L001,B.1.37,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0363_S17_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0364_S18_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0366_S20_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0367_S19_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0368_S20_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0371_S21_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0372_S22_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0373_S23_L001,B.1.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0374_S24_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0375_S25_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0376_S26_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0377_S27_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0378_S28_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0379_S29_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0380_S30_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0381_S31_L001,B.1.503,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0382_S21_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0385_S1_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0386_S2_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0387_S3_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0390_S6_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0393_S9_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0395_S11_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0397_S13_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0398_S14_L001,B.1.9.2,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0399_S15_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0400_S16_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0401_S17_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0403_S19_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0404_S20_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0405_S1_L001,B.1.332,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0406_S21_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0407_S22_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0408_S23_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0409_S24_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0410_S25_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0411_S26_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0412_S27_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0413_S28_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0414_S29_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0416_S1_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0417_S2_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0418_S3_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0419_S4_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0420_S5_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0421_S6_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0422_S7_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0423_S8_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0424_S9_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0425_S10_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0427_S12_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0428_S13_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0429_S14_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0430_S15_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0431_S16_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0432_S17_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0433_S18_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0434_S19_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0435_S20_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0436_S21_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0437_S22_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0438_S23_L001,B.1,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
VA-DCLS-0439_S24_L001,B.1.442,,,,,,PANGO-v1.2.105,3.1.17,12/6/2021,v1.2.105,passed_qc,Assigned from designation hash.
